name;startDate;endDate;votes
Оценка для «Народных парков»;27.08.2014;17.09.2014;51475
Москвичи для москвичей: улучшаем работу МФЦ (часть 2);29.07.2014;13.08.2014;112247
Активный гражданин информирует;1.12.2014;30.12.2014;24497
QR-коды в Москве: сам себе экскурсовод;17.06.2014;23.06.2014;43151
Школьная жизнь;11.07.2014;24.07.2014;83737
Митинский парк: новые возможности;21.05.2014;12.06.2014;63224
Цвет новой линии метро;20.10.2014;10.11.2014;307350
Электронная запись в поликлинику;16.06.2014;23.06.2014;45172
Как записаться в первоклассники?;30.06.2014;1.07.2014;56064
Москвичи для москвичей: улучшаем работу МФЦ (часть 2);29.07.2014;13.08.2014;112247
Москвичи для москвичей: улучшаем работу МФЦ (часть 2);29.07.2014;13.08.2014;112247
Фестиваль «Путешествие в Рождество»;19.11.2014;5.12.2014;266402
Правила разгрузочных работ для магазинов;6.06.2014;20.06.2014;51234
Новогоднее украшение Садового кольца;10.09.2014;1.10.2014;158940
На стройку с экскурсией;6.10.2014;27.10.2014;224397
Москвичи для москвичей: улучшаем работу МФЦ (часть 1);30.07.2014;13.08.2014;108137
Активный отдых в природных парках;21.05.2014;30.05.2014;49345
Московским школам – единые сроки каникул;27.10.2014;30.11.2014;470747
Вакцинация домашних животных от бешенства в ТинАО;5.09.2014;1.10.2014;1705
Изо-стихи на стенах домов в Беляеве;15.08.2014;30.08.2014;11419
Московские арт-троллейбусы;13.10.2014;3.11.2014;270168
Новое название для фестиваля «Московское варенье»;1.10.2014;21.10.2014;195408
Символ Москвы на «Аллее России» в Севастополе;15.07.2014;31.10.2014;367511
Своевременная оплата ЖКУ;25.07.2014;13.08.2014;111227
Открытые кинотеатры в городских парках;2.06.2014;11.06.2014;45743
Дизайн новых станций метро «Новопеределкино» и «Солнцево»;23.10.2014;12.11.2014;296572
Окружные и районные газеты: оценка и контроль;2.07.2014;8.07.2014;56306
Окружные и районные газеты: оценка и контроль;2.07.2014;8.07.2014;56306
Символ Москвы на «Аллее России» в Севастополе;15.07.2014;31.10.2014;367511
Продолжаем улучшать природные парки;21.05.2014;30.05.2014;64115
Активный отдых в природных парках;21.05.2014;30.05.2014;49345
Новые технологии поиска пропавших близких;17.10.2014;23.10.2014;156698
Новые маршрутки столицы;24.09.2014;6.10.2014;126401
Акция «Миллион деревьев»;21.05.2014;12.06.2014;55000
Москва для велосипедистов;19.06.2014;26.06.2014;52900
От "Раменок" до "Рассказовки" - новый участок московского метро;13.08.2014;27.08.2014;137658
Митинский парк: новые возможности;21.05.2014;12.06.2014;63224
Московское время: зимнее или летнее;21.05.2014;30.05.2014;55268
Клуб «Современник»: больше секций хороших и разных;24.06.2014;8.07.2014;60292
Москва для велосипедистов;18.06.2014;26.06.2014;52900
Клуб «Молодежный»: больше секций хороших и разных;24.06.2014;8.07.2014;60292
Дом культуры «Перово»: больше секций хороших и разных;24.06.2014;8.07.2014;60292
Цвет трибун стадиона «Лужники»;6.08.2014;22.06.2014;137228
МФЦ: услуги для всех, качество для каждого;6.06.2014;20.06.2014;50679
Новые стандарты работы московских центров госуслуг;8.09.2014;12.09.2014;107168
День города: решают москвичи;15.07.2014;28.07.2014;103784
Городские фестивали – новая традиция;6.06.2014;30.06.2014;51991
Москвичи для москвичей: улучшаем работу МФЦ (часть 2);30.07.2014;13.08.2014;105332
Фестиваль «Московское варенье»;31.07.2014;5.08.2014;77750
Новые автобусные маршруты: москвичи для москвичей;15.07.2014;22.07.2014;79128
Скоростной режим в центре столицы;22.07.2014;14.08.2014;139822
МФЦ: услуги для всех, качество для каждого;6.06.2014;20.06.2014;50679
Продолжаем улучшать природные парки;21.05.2014;30.05.2014;64115
Правила разгрузочных работ для магазинов;6.06.2014;20.06.2014;51234
Повышение эко-класса автобусов в Москве;10.06.2014;20.06.2014;49575
Торговые объекты на улицах Москвы;21.05.2014;30.05.2014;49885
Центр Москвы без пробок;2.06.2014;10.06.2014;38424
Сохранение движения автобуса 901-го маршрута;4.06.2014;24.06.2014;2069
Детские сады Москвы без очередей;29.05.2014;5.06.2014;46379
Московская поликлиника: как сократить очереди?;24.12.2015;20.04.2015;278753
Московская поликлиника: для чего удобно использовать смс?;13.04.2015;4.05.2015;262491
Книга для первоклассника;26.11.2014;17.12.2014;275053
Новый сезон программы «Моя улица»;27.10.2015;8.11.2015;199161
Новый центр госуслуг «Мои документы» в Лосиноостровском районе;6.07.2015;27.07.2015;23754
Образование и досуг в природных парках;9.11.2015;30.11.2015;232030
Адреса и внешний вид елочных базаров - выбор москвичей;12.08.2015;2.09.2015;193505
Госуслуги молодым родителям: всегда онлайн;26.08.2015;16.09.2015;239825
Когда можно делать ремонт в квартирах;1.12.2014;22.12.2014;272415
Новый адрес для центра госуслуг района Красносельский;6.07.2015;27.07.2015;13657
Москвичи для москвичей: улучшаем работу МФЦ;25.07.2014;7.08.2014;211251
Больше, чем урок: онлайн лекции для школьников;5.08.2015;26.08.2015;227429
Лучший объект реставрации по версии «Активного гражданина»;5.11.2015;18.11.2015;200183
Родительское онлайн-собрание: когда начинать трансляцию?;14.10.2015;4.11.2015;255307
Изменение правил перепланировки жилья;15.07.2015;5.08.2015;229187
Комплексное развитие бывшего Тушинского аэродрома;11.06.2015;14.07.2015;263704
ВДНХ: решаем вместе;05.06.14;26.06.14.;135342
Режим работы катков;23.09.2015;23.10.2015;238тысяч
«Автокод» — помощник московских автомобилистов;11.03.2015;20.04.2015;303735
Билетное меню в музеях Москвы;15.12.2014;20.01.2015;278917
Московская поликлиника: как улучшить обслуживание?;24.03.2015;20.04.2015;265493
«Автокод» — помощник московских автомобилистов;11.03.2015;20.04.2015;303735
Оценка для народных парков;27.08.2014;17.09.2014;70%
Электронная карта школьника;17.11.2014;8.12.2014;284352
«Моя улица» в ЦАО: детали нового облика улиц (Петровский переулок);8.04.2015;4.05.2015;255048
«Моя улица» в ЦАО: детали нового облика улиц (Большая Никитская улица);8.04.2015;4.05.2015;255048
В Шереметьево на аэроэкспрессе;14.01.2015;4.02.2015;262468
Новый краудсорсинг – проект «Моя библиотека»;12.10.2015;18.10.2015;185571
Проект комплексного развития территории МГУ имени М.В. Ломоносова;1.07.2015;14.07.2015;208212
Московская поликлиника: как улучшить обслуживание?;24.03.2015;20.04.2015;265132
«Автокод» — помощник московских автомобилистов;11.03.2015;20.04.2015;303735
Быстро и без очередей: онлайн-оплата кружков и секций;22.04.2015;18.05.2015;253710
Электронная карта школьника;17.11.2014;8.12.2014;284352
Приятное соседство;3.06.2015;5.07.2015;277113
Новое в работе кинотеатра «Молодежный»;03.09.14;24.09.14.;13669
«Моя улица» в ЦАО: детали нового облика улиц (улица Спиридоновка);2.04.2015;27.04.2015;255048
«Моя улица» в ЦАО: детали нового облика улиц (Новодевичья набережная);8.04.2015;4.05.2015;255048
«Моя улица» в ЦАО: детали нового облика улиц (Малая Никитская улица);2.04.2015;27.04.2015;243933
«Моя улица» в ЦАО: детали нового облика улиц (Малая Бронная улица);2.04.2015;27.04.2015;243933
«Моя улица» в ЦАО: детали нового облика улиц (улица Большая Ордынка);8.04.2015;4.05.2015;255048
«Моя улица» в ЦАО: детали нового облика улиц (Большая Бронная улица);2.04.2015;27.04.2015;243933
Московская поликлиника: как информировать пациентов?;26.03.2015;20.04.2015;278753
Экскурсии в природных парках;17.11.2015;8.12.2015;241993
Новое в работе кинотеатра «Полет»;3.09.2014;24.09.2014;9018
Новое в работе кинотеатра «Салют»;3.09.2014;24.09.2014;14106
Новое в работе кинотеатра «Искра»;3.09.2014;24.09.2014;11389
Магазины-роботы на столичных улицах;26.01.2015;3.02.2015;192249
Новое в работе кинотеатра «Вымпел»;3.09.2014;24.09.2014;13619
Достижения паралимпийцев: говорит и показывает Москва;24.12.2014;24.01.2015;274816
Новое в работе кинотеатра «Березка»;3.09.2014;24.09.2014;14311
Новые возможности карты «Тройка»;22.04.2015;12.05.2015;253648
За любимой собакой и убрать не стыдно;10.05.2015;31.05.2015;234940
Центры культуры: больше секций, хороших и разных;24.06.2014;8.07.2014;2060
Центры культуры: больше секций, хороших и разных;24.06.2014;8.07.2014;1703
Праздник экстремальных видов спорта;19.08.2015;25.08.2015;17572
Москва для велосипедистов;18.06.2014;26.06.2014;52900
«Автокод» — помощник московских автомобилистов;11.03.2015;20.04.2015;303735
Благоустройство Мясницкой улицы;15.09.2014;29.09.2014;104972
Олимпийская зарядка;10.05.2015;31.05.2015;276820
Электронная карта школьника;17.11.2014;8.12.2014;284352
«Миллион деревьев» от «Активного гражданина»;25.03.2015;20.04.2015;263986
На стройку с экскурсией;6.10.2014;27.10.2014;224397
Москвичи вновь принимают участие в составлении программы Дня города;20.07.2015;30.07.2015;196695
«Народный выбор» от «Активного гражданина»;23.06.2015;20.07.2015;246891
Знак отличия активных граждан;1.04.2015;4.05.2015;289497
Прокат в Измайловском парке;21.05.2014;30.05.2014;53809
Что построить на Профсоюзной улице?;23.10.2014;13.11.2014;22818
Размещение МФЦ в торговых центрах;18.08.2014;1.09.2014;145740
Оценка для народных парков;27.08.2014;17.09.2014;3572
Оценка для народных парков;27.08.2014;17.09.2014;533
Оценка для народных парков;27.08.2014;17.09.2014;533
Оценка для народных парков;27.08.2014;17.09.2014;5242
Достижения паралимпийцев: говорит и показывает Москва;24.12.2015;24.01.2015;274816
«Автокод» — помощник московских автомобилистов;11.03.2015;20.04.2015;303735
На стройку с экскурсией;6.10.2014;27.10.2014;224397
Олимпийская зарядка;10.05.2015;31.05.2015;276820
Новый краудсорсинг-проект «Экологическая стратегия Москвы»;9.07.2015;19.07.2015;183946
Московская поликлиника: как сократить очереди?;24.03.2015;20.04.2015;278753
Доступ к городской сети Wi-Fi;8.12.2014;18.12.2014;221499
Прокат в парке «Фили»;21.05.2014;30.05.2014;53808
На пляж вместо дачи;6.05.2015;24.05.2015;262389
Фестиваль «Московский спорт в Лужниках»;30.03.2015;20.04.2015;264225
Москвичи для москвичей: улучшаем работу МФЦ (часть 1);25.07.2014;7.08.2014;108137
«Автокод» – помощник московских автомобилистов;11.03.2015;20.04.2015;303735
На стройку с экскурсией;6.10.2014;27.10.2014;224397
Прокат в Бабушкинском парке;21.05.2014;30.05.2014;17368
Прокат в парке «Северное Тушино»;21.05.2014;30.05.2014;17992
Вакцинация от бешенства;4.03.2015;25.03.2015;183238
Активный отдых в природных парках;21.05.2014;30.05.2014;49345
Олимпийская зарядка;10.05.2015;31.05.2015;276820
Московская поликлиника: как оценивать качество работы врачей?;25.03.2015;20.04.2015;271850
Московская поликлиника: как оценивать качество работы врачей?;25.03.2015;20.04.2015;271850
Прокат в парке «Сокольники»;21.05.2014;30.05.2014;53811
Капремонт по новым правилам: кому и как поможет город;2.02.2015;23.02.2015;252672
Оценка для народных парков;27.08.2014;17.09.2014;8824
Москва для велосипедистов;18.06.2014;26.06.2014;52900
Москва для велосипедистов;18.06.2014;26.06.2014;52900
Москва для велосипедистов;18.06.2014;26.06.2014;52900
Комплексное развитие Нагатинской поймы;11.11.2014;5.12.2014;296137
Новые автобусные маршруты: москвичи для москвичей;15.07.2014;22.07.2014;79128
На стройку с экскурсией;6.10.2014;27.10.2014;224397
Оценка для «Народных парков»;27.08.2014;17.09.2014;5013
Кто споет на главном выпускном страны?;17.03.2015;29.03.2015;41703
Организация движения в Замоскворечье;6.06.2014;12.06.2014;43823
