file;VotingName;lat;lon;location_name
1448;Благоустройство Проспекта Мира и Ярославского шоссе: оценка москвичей;;;Проспект Мира и Ярославское шоссе
1449;Благоустройство Ленинградки: оценка москвичей;;;Ленинградское шоссе
1461;Благоустройство улиц у Новодевичьего монастыря: оценка москвичей;55.726127;37.556400;Улицы у Новодевичьего монастыря
2168;Реставрация усадьбы XVIII века: оценка москвичей;55.535743;37.163227;Усадьбы XVIII века
3026;Новый городской парк в Братеевской пойме;55.642924;37.774750;Парк в Братеевской пойме
3029;Благоустройство усадьбы «Михалково»;55.839451;37.513233;Усадьба «Михалково»
3030;Благоустройство парка «Левобережный»;55.878821;37.466002;Парк «Левобережный»
3039;Благоустройство зоны отдыха «Мещерское»;55.725470;37.342964;Зона отдыха «Мещерское»
3063;Реставрация фабрики «Большевик»: оценка москвичей;55.781471;37.572373;Фабрика «Большевик»
3216;Благоустройство зоны отдыха «Левобережный»: оценка активных граждан;55.875854;37.460383;Зона отдыха «Левобережный»
3215;Обновленный парк 850-летия Москвы: оценка активных граждан;55.641532;37.744526;Парк 850-летия Москвы
