name;votes;level
Повысить эффективность реализации дополнительных льгот для жителей районов Крайнего Севера и приравненных к ним местностях;43606;Федеральный
Приравнять нападение на медицинского работника при исполнении обязанностей к нападению на полицейского;30044;Федеральный
Организовать пункты сбора отработанного масла у населения на АЗС;29229;Федеральный
Запретить парковаться выхлопной трубой автомобиля в окна жилых зданий ближе чем 5 метров;26582;Федеральный
Установить продолжительность рабочего дня - 7 часов;17100;Федеральный
Внести изменения в закон о выборах для организации электронного голосования на выборах всех уровней с авторизацией через портал госуслуг и криптозащитой поданного голоса (реализация функции контроля честности на основе технологии блокчейн);16364;Федеральный
Реализовать программу повышения качества жизни населения Российской Федерации;16146;Федеральный
Увеличить компенсационную выплату лицам, осуществляющим уход за нетрудоспособными гражданами;15489;Федеральный
Повысить размер  прожиточного минимума;15300;Федеральный
Понизить зарплаты работников Госдумы до минимального прожиточного минимума;14502;Федеральный
Обязать производителей сигарет разработать фильтры для сигарет растворяющиеся в воде;11133;Федеральный
Изменить требования пожарной безопасности;10462;Федеральный
Предоставить реальную возможность гражданам защититься от преступных посягательств на свою жизнь, имущество, а также на жизнь и здоровье третьих лиц;9386;Федеральный
Установить единый срок по обращениям граждан, равный 15 рабочим дням;9375;Федеральный
Создать в России организацию (службу) по поиску пропавших детей и взрослых на федеральном уровне;8974;Федеральный
Расположение детских развлекательных площадок в ТЦ согласно СНИП 31-06-2009;6580;Федеральный
Установить минимальный размер пособия по безработице на уровне прожиточного минимума по стране;6449;Федеральный
Установить зарплату депутата ГД РФ не более семи МРОТ;6290;Федеральный
Установить в крупных магазинах и торговых сетях «тароматы» (автоматы для приема тары) для автоматического сбора стеклянной, алюминиевой и пластиковой тары;6124;Федеральный
Отменить транспортный налог;5644;Федеральный
Отменить закон о засекречивании данных об имуществе высших чиновников;5204;Федеральный
Обеспечить каждому гражданину России ежегодное прохождение компьютерной томографии, включив такие обследования в перечень бесплатных медицинских услуг, предоставляемых в рамках ОМС;5194;Федеральный
Установить минимальную пенсию не ниже средней по России;4982;Федеральный
Отменить ежемесячные доплаты к пенсии депутатам Госдумы и сенаторам;4788;Федеральный
Приравнять размер пособия по уходу за инвалидом к МРОТ;4756;Федеральный
Ужесточить наказание за убийство и умышленное причинение тяжкого вреда здоровью и причинение средней тяжести вреда здоровью;4663;Федеральный
Запретить супругам, детям, внукам (внучкам) федеральных чиновников жить и учиться за границей;4561;Федеральный
Привязать зарплату руководителей предприятий к зарплате подчинённых;4496;Федеральный
Упростить налог на гостиничный бизнес;4485;Федеральный
Передать населенные пункты Мурино, Кудрово и Тельмана из состава Ленинградской области в состав города Санкт-Петербурга;4466;Федеральный
Лишить депутатов возможности поднимать себе зарплаты;4429;Федеральный
Ввести обязательный раздельный сбор твердых бытовых отходов (ТБО) в коммерческих компаниях, государственных, региональных, муниципальных учреждениях;4415;Федеральный
Запретить деятельность притравочных станций на территории Российской Федерации;4227;Федеральный
Отменить новые правки регламента ГИБДД, запрещающие останавливать судей;4080;Федеральный
Ввести депортацию иностранцев-участников массовых беспорядков, несанкционированных митингов;4071;Федеральный
Отменить комиссию при переводе между банковскими картами Сбербанка, открытыми в разных регионах;4012;Федеральный
Создать механизм отзыва депутатов Государственной Думы;4002;Федеральный
Достроить брошенные и проблемные объекты обманутых дольщиков за счет средств СРО, компенсационного фонда, страховых выплат ;3869;Федеральный
Привязать средний размер пенсии к средней зарплате госчиновников и депутатов различных уровней;3857;Федеральный
Запретить в судебных решениях фразу «нет основания не доверять сотрудникам полиции»;3846;Федеральный
Установить зарплату депутатам всех уровней, кроме ГД РФ, равной средней по месту их деятельности;3836;Федеральный
Выплачивать зарплату губернаторам пропорционально средней зарплате в регионе и рейтингу одобрения губернатора населением;3593;Федеральный
Разрешить видеофиксацию действий сотрудников ГИБДД;3575;Федеральный
Увеличить пособие по уходу за ребенком до величины прожиточного минимума;3453;Федеральный
Наделить избирателей правом отозвать мандат депутата при невыполнении им своих обещаний;3429;Федеральный
Ввести двадцатилетний мораторий на вырубку леса;3371;Федеральный
Остановить строительство завода по розливу воды Байкала для Китая;3357;Федеральный
Разработать и принять программу по защите и сохранению лесных ресурсов Алтая, Сибири и Дальнего Востока;3285;Федеральный
Внести поправки в ФЗ «Об оружии», касающиеся определения копий и реплик старинного оружия, разработать методику проведения историко-культурной экспертизы для отнесения предметов к копиям и репликам старинного оружия;3283;Федеральный
Сократить количество чиновников в РФ в два раза;3232;Федеральный
Обязать компании, проводящие строительство и ремонт дорог, выполнять гарантийные работы за свой счет;3219;Федеральный
Принять федеральный закон о запрете вывоза необработанного леса за границу и о контроле за вырубкой внутри страны;3203;Федеральный
Ввести полный запрет на передвижные выставки диких животных, цирки шапито, передвижные и стационарные дельфинарии, запретить транспортировку и содержание животных в неприемлемых условиях, запретить публичный показ животных в коммерческих целях;3189;Федеральный
Запретить сбор денег на лечение детей на телеканалах, и лечить детей бесплатно за счет страховых медицинских фондов;3106;Федеральный
Ужесточить наказание за выгуливание собак бойцовских пород без намордников и поводков;3027;Федеральный
Обязательная выплата гражданам России за использование общенационального природного достояния: нефть, газ и прочие природные ресурсы, с продажи которых получается доход;2996;Федеральный
Организовать аттестацию чиновников всех рангов;2990;Федеральный
Ужесточить наказание за вводящую в заблуждение рекламу нелекарственных средств;2947;Федеральный
Запретить финансирование партий из бюджета;2926;Федеральный
Прекращать полномочия судей при достижении лимита неверно принятых решений;2884;Федеральный
Законодательно запретить списывать госдолг без проведения референдума;2872;Федеральный
Законодательно освободить пенсионеров по старости от взносов на капремонт МКД, если пенсия является их единственным доходом;2865;Федеральный
Вместо планирующегося увеличения налогов и акцизов прекратить давать в долг иностранным государствам с последующим списанием этих долгов и обеспечить поддержку промышленности и малого бизнеса;2856;Федеральный
Ужесточить ответственность, предусмотренную ст.245 УК РФ «Жестокое обращение с животными»;2836;Федеральный
Запретить органам опеки изымать детей из семьи без судебного решения;2817;Федеральный
Внести изменения в часть 3 ст.43 «Действие коллективного договора» Трудового кодекса РФ;2782;Федеральный
Приравнять прожиточный минимум к заработной плате депутата Государственной Думы РФ;2759;Федеральный
Прекратить повышение транспортного и имущественного налогов;2745;Федеральный
